,equity
2021-03-18,100000.0
2021-03-19,100000.0
2021-03-22,100000.0
2021-03-23,100000.0
2021-03-24,100000.0
2021-03-25,100000.0
2021-03-26,100000.0
2021-03-29,100000.0
2021-03-30,100000.0
2021-03-31,100000.0
2021-04-01,100000.0
2021-04-02,100000.0
2021-04-05,100000.0
2021-04-06,100000.0
2021-04-07,100000.0
2021-04-08,100000.0
2021-04-09,100000.0
2021-04-12,100000.0
2021-04-13,100000.0
2021-04-14,100000.0
2021-04-15,100000.0
2021-04-16,100000.0
2021-04-19,100000.0
2021-04-20,100000.0
2021-04-21,100000.0
2021-04-22,100000.0
2021-04-23,100000.0
2021-04-26,100000.0
2021-04-27,100000.0
2021-04-28,100000.0
2021-04-29,100000.0
2021-04-30,100000.0
2021-05-03,100000.0
2021-05-04,100000.0
2021-05-05,100000.0
2021-05-06,100000.0
2021-05-07,100000.0
2021-05-10,100000.0
2021-05-11,100000.0
2021-05-12,100000.0
2021-05-13,100000.0
2021-05-14,100000.0
2021-05-17,100000.0
2021-05-18,100000.0
2021-05-19,100000.0
2021-05-20,100000.0
2021-05-21,100000.0
2021-05-24,100000.0
2021-05-25,100000.0
2021-05-26,100000.0
2021-05-27,99941.1961042006
2021-05-28,102913.37193305122
2021-05-31,100471.50510236484
2021-06-01,95116.15103668469
2021-06-02,98510.25088189707
2021-06-03,104147.6963380923
2021-06-04,103122.39788101248
2021-06-07,98688.73670385285
2021-06-08,97916.24091315106
2021-06-09,97201.52765550482
2021-06-10,96699.17681745182
2021-06-11,94229.09853799999
2021-06-14,95371.64346919727
2021-06-15,96407.1085586762
2021-06-16,93142.57131700264
2021-06-17,94527.39480537885
2021-06-18,98872.6256280038
2021-06-21,99159.20870643052
2021-06-22,98324.73778668382
2021-06-23,97922.10627724922
2021-06-24,99181.15681564725
2021-06-25,95331.56674968213
2021-06-28,95593.23869817823
2021-06-29,94671.36934881395
2021-06-30,98571.29025857127
2021-07-01,98097.4031642945
2021-07-02,101709.63262928219
2021-07-05,99152.63451602175
2021-07-06,100362.62222694824
2021-07-07,100983.0088758645
2021-07-08,98957.69183984298
2021-07-09,99256.49460351124
2021-07-12,101871.74614195991
2021-07-13,101048.25836240545
2021-07-14,97221.16915568289
2021-07-15,97091.9291732161
2021-07-16,95061.90654814172
2021-07-19,94246.09347894938
2021-07-20,93985.02473097855
2021-07-21,90357.68724011925
2021-07-22,87026.09677146711
2021-07-23,87900.41001595507
2021-07-26,86779.77816992314
2021-07-27,81759.1417393286
2021-07-28,83164.77408631684
2021-07-29,83604.71593968334
2021-07-30,82137.9647997187
2021-08-02,81148.96243869863
2021-08-03,81718.30798702798
2021-08-04,82005.2671494748
2021-08-05,84246.10278018286
2021-08-06,84617.56722911776
2021-08-09,84945.92330879196
2021-08-10,84845.68123340588
2021-08-11,85181.2596897686
2021-08-12,86311.76860114459
2021-08-13,88697.33522416491
2021-08-16,87579.6921915152
2021-08-17,86641.77829261713
2021-08-18,85627.63223911292
2021-08-19,87088.07825904102
2021-08-20,89988.42621081985
2021-08-23,88982.00204400471
2021-08-24,88052.57180094717
2021-08-25,88593.34191830373
2021-08-26,88021.4991242284
2021-08-27,89840.68615459469
2021-08-30,85314.74116616636
2021-08-31,83651.24356801219
2021-09-01,82097.61282751813
2021-09-02,77777.43049539944
2021-09-03,75996.09020597364
2021-09-06,74331.78712013859
2021-09-07,73913.85414381072
2021-09-08,75769.52955398097
2021-09-09,75268.45479273413
2021-09-10,75268.45479273413
2021-09-13,75268.45479273413
2021-09-14,75268.45479273413
2021-09-15,75268.45479273413
2021-09-16,75268.45479273413
2021-09-17,75268.45479273413
2021-09-20,75268.45479273413
2021-09-21,75268.45479273413
2021-09-22,75268.45479273413
2021-09-23,75268.45479273413
2021-09-24,75268.45479273413
2021-09-27,75268.45479273413
2021-09-28,75268.45479273413
2021-09-29,75268.45479273413
2021-09-30,75268.45479273413
2021-10-01,75268.45479273413
2021-10-04,75268.45479273413
2021-10-05,75268.45479273413
2021-10-06,75268.45479273413
2021-10-07,75268.45479273413
2021-10-08,75268.45479273413
2021-10-11,75268.45479273413
2021-10-12,75268.45479273413
2021-10-13,75268.45479273413
2021-10-14,75268.45479273413
2021-10-15,75268.45479273413
2021-10-18,75268.45479273413
2021-10-19,75268.45479273413
2021-10-20,75268.45479273413
2021-10-21,75268.45479273413
2021-10-22,75268.45479273413
2021-10-25,75268.45479273413
2021-10-26,75268.45479273413
2021-10-27,75268.45479273413
2021-10-28,75268.45479273413
2021-10-29,75268.45479273413
2021-11-01,75268.45479273413
2021-11-02,75268.45479273413
2021-11-03,75268.45479273413
2021-11-04,75268.45479273413
2021-11-05,75268.45479273413
2021-11-08,75268.45479273413
2021-11-09,75268.45479273413
2021-11-10,75268.45479273413
2021-11-11,75268.45479273413
2021-11-12,75268.45479273413
2021-11-15,75268.45479273413
2021-11-16,75268.45479273413
2021-11-17,75268.45479273413
2021-11-18,75268.45479273413
2021-11-19,75224.67857582979
2021-11-22,78608.79827205227
2021-11-23,81654.39847189462
2021-11-24,83617.76773837103
2021-11-25,81887.72236417307
2021-11-26,83346.49258254799
2021-11-29,84433.17713289155
2021-11-30,85168.4051893009
2021-12-01,87419.1270382454
2021-12-02,88543.95714599724
2021-12-03,89883.40163008495
2021-12-06,91039.01975420582
2021-12-07,91624.35211597085
2021-12-08,88099.08996700961
2021-12-09,88178.12072328119
2021-12-10,87048.33086393618
